collection,release,source_pdf,source_sha256,source_bytes,pages,ocr_pdf,ocr_sha256,text_file,markdown_file,ocr_exit_code,ocr_seconds,text_chars,chars_per_page,empty_pages,tool_versions,ocr_options,needs_review,error
majestic-12,,majestic-12/af-secratary-spaatz.pdf,5073eca1befb95678a3ebaaa51090bb245f473f8f3411f6e0733d9cb0b3fbb1c,43668,1,majestic-12/ocr/searchable-pdf/af-secratary-spaatz.pdf,b675e594dfeabf5099a09f97d6161f18c495d93a5dd9bab2c5d847923e322f43,majestic-12/ocr/text/af-secratary-spaatz.txt,majestic-12/ocr/markdown/af-secratary-spaatz.md,0,1.4,1635,1635.0,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
majestic-12,,majestic-12/airaccidentreport.pdf,5ebf9439054608e94df738c85d67d5249e08bf785579b08f82ba844f8ffbe04f,613451,4,majestic-12/ocr/searchable-pdf/airaccidentreport.pdf,357b265a80a32c46fd14d7f17e274582493b2b54b2df9b64ea1dad708b75b4c9,majestic-12/ocr/text/airaccidentreport.txt,majestic-12/ocr/markdown/airaccidentreport.md,0,1.7,5458,1364.5,2,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,true,
majestic-12,,majestic-12/annexc-fragment.pdf,f2e564d1325b448aa57c747115ecb8ba5b303d21dd4ada945ad4ce160a27510d,100235,1,majestic-12/ocr/searchable-pdf/annexc-fragment.pdf,2dc5595fd7262dde826b089449ca8d096755967880a03689dde1e0a02a6bc0b3,majestic-12/ocr/text/annexc-fragment.txt,majestic-12/ocr/markdown/annexc-fragment.md,0,2.3,3516,3516.0,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
majestic-12,,majestic-12/aquariusteletype.pdf,48b0a5a420eeeea4e8ceee9429c1a0d49cdc7a903d96f3510af77d2de2f538ed,198267,1,majestic-12/ocr/searchable-pdf/aquariusteletype.pdf,b1d6f5b0e3829117244578fb8aeba4226fd859fe90973e67d9cbab1e9da6cf69,majestic-12/ocr/text/aquariusteletype.txt,majestic-12/ocr/markdown/aquariusteletype.md,0,3.2,4315,4315.0,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
majestic-12,,majestic-12/authority-dci-clarified-s1-00.pdf,a3afc82dc4b955e80417001b0ff7e8229f1334321f500ad0361a3f3037c60c59,237394,2,majestic-12/ocr/searchable-pdf/authority-dci-clarified-s1-00.pdf,608e72833499fc78711be8416d9ff88b201595fc618aeb1b377f9d43a0681d3d,majestic-12/ocr/text/authority-dci-clarified-s1-00.txt,majestic-12/ocr/markdown/authority-dci-clarified-s1-00.md,0,0.4,3015,1507.5,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
majestic-12,,majestic-12/biologicalweapons.pdf,2fb9b6f69a1821cf7193d3c942e387ca17aa68bf259c8698e4ec545ef8e5f433,360129,6,majestic-12/ocr/searchable-pdf/biologicalweapons.pdf,f05376fb107467393712ac33f5f01be345b5570cd530f6268dd75456e2715192,majestic-12/ocr/text/biologicalweapons.txt,majestic-12/ocr/markdown/biologicalweapons.md,0,3.3,15440,2573.3,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
majestic-12,,majestic-12/bowen.pdf,73b3af2055bbcca30be55fa2e6f8eebe454582633d48e26732b4412692d188ca,631113,14,majestic-12/ocr/searchable-pdf/bowen.pdf,804e309587c1654ad8b5b86b27fc600537a54a12d162d2e04b6c861bef3eff12,majestic-12/ocr/text/bowen.txt,majestic-12/ocr/markdown/bowen.md,0,4.2,26145,1867.5,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
majestic-12,,majestic-12/burnedmemo-s1-pgs1-2.pdf,a5a99f73f408cbed5d4c11fe5885f64b8ba522476d1c3cb117010f1e09fa9663,3949797,2,majestic-12/ocr/searchable-pdf/burnedmemo-s1-pgs1-2.pdf,038861ca94d02db5ec46145cc74128e9e270cf1adfa8bcf7968454d01a5d1386,majestic-12/ocr/text/burnedmemo-s1-pgs1-2.txt,majestic-12/ocr/markdown/burnedmemo-s1-pgs1-2.md,0,1.7,145,72.5,1,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,true,
majestic-12,,majestic-12/burnedmemo-s1-pgs3-9.pdf,e7c396fab062082628015e4cd07e9a19d537ceab16ad677f1811240e9c2d73b6,2544780,7,majestic-12/ocr/searchable-pdf/burnedmemo-s1-pgs3-9.pdf,3ecb8e4244ae0c0fd409eb7e5e3d386cef5cd8adf919b58358f9550ea5d1cad4,majestic-12/ocr/text/burnedmemo-s1-pgs3-9.txt,majestic-12/ocr/markdown/burnedmemo-s1-pgs3-9.md,0,4.0,240,34.3,3,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,true,
majestic-12,,majestic-12/burnedmemocoverletter.pdf,659e481a19616fd41e2d179d152c2c55a229ba1f85ca43844c6996792def62c5,65774,1,majestic-12/ocr/searchable-pdf/burnedmemocoverletter.pdf,5765395edb8e2f90f9ab4b174709af9237dbc7d08a11d05a8c34ee4fef7537f3,majestic-12/ocr/text/burnedmemocoverletter.txt,majestic-12/ocr/markdown/burnedmemocoverletter.md,0,2.0,2728,2728.0,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
