collection,release,source_pdf,source_sha256,source_bytes,pages,ocr_pdf,ocr_sha256,text_file,markdown_file,ocr_exit_code,ocr_seconds,text_chars,chars_per_page,empty_pages,tool_versions,ocr_options,needs_review,error
department-of-war,release-01,processing/department-of-war/release-01/originals/059uap00011.pdf,968c266f780e1f69abf1bca70aa0edcb094bc61c38d6743e01de335775af347c,825714,5,processing/department-of-war/release-01/searchable-pdf/059uap00011.pdf,35a63f28b6575deb799d5a1cc2acf6a7dc8bd01ce893a1ce65a3dc4c36867f04,processing/department-of-war/release-01/text/059uap00011.txt,department-of-war/release-01/059uap00011.md,0,0.4,12491,2498.2,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/059uap00012.pdf,e1b27f7e274549e540de4cf77f9aae131cedcf3847819edd594a9825c4cad819,654734,5,processing/department-of-war/release-01/searchable-pdf/059uap00012.pdf,0a9bb5ff5f032c7a885dfcb975f10824cc3d60aad05773e5c4f2e87b0fb41bc9,processing/department-of-war/release-01/text/059uap00012.txt,department-of-war/release-01/059uap00012.md,0,0.4,11318,2263.6,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/059uap00013.pdf,257e2388f838975fcee0b00a381059e903e64018b7aafb7a12e5392437154f5f,1208817,7,processing/department-of-war/release-01/searchable-pdf/059uap00013.pdf,98af3d0dc5f1e2901effb8ee8932f8b60e1548572e0b5bcd6b5014d3177e0656,processing/department-of-war/release-01/text/059uap00013.txt,department-of-war/release-01/059uap00013.md,0,0.5,16638,2376.9,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/18-100754-general-1946-7-vol-2.pdf,373070ab867b592e5d76cd063f50887a00b7653d2ae4b86a6d988155ecd7c993,4838247,28,processing/department-of-war/release-01/searchable-pdf/18-100754-general-1946-7-vol-2.pdf,0d74d4f0c2fcc548e4e6fd956406a8b3acc583b31379858a7689a86e7036fdc3,processing/department-of-war/release-01/text/18-100754-general-1946-7-vol-2.txt,department-of-war/release-01/18-100754-general-1946-7-vol-2.md,0,0.9,56160,2005.7,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/18-6369445-general-1948-vol-1.pdf,5479dd8f1138ef43c8bcf51481fe83df06d1704bdc54244d893c21cf0aad926f,4740807,28,processing/department-of-war/release-01/searchable-pdf/18-6369445-general-1948-vol-1.pdf,03b98cecb96872347034070d337f56f6a72bce01a83721a8568c56d2bd1f1bb9,processing/department-of-war/release-01/text/18-6369445-general-1948-vol-1.txt,department-of-war/release-01/18-6369445-general-1948-vol-1.md,0,1.0,51056,1823.4,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/2024-04-30-composite-sketch.pdf,b18179d90564ecae48fbca58e945894633ac9c37f49f5781a9406a389b457663,112045,1,processing/department-of-war/release-01/searchable-pdf/2024-04-30-composite-sketch.pdf,06af7abd4bcb65e9f26dfbdee394b290ae68166480a0079b8b8802320a9db82a,processing/department-of-war/release-01/text/2024-04-30-composite-sketch.txt,department-of-war/release-01/2024-04-30-composite-sketch.md,0,1.4,1,1.0,1,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,true,
department-of-war,release-01,processing/department-of-war/release-01/originals/255-413270-ufo-s-and-defense-what-should-we-prepare-for.pdf,b6a51b4cd1c09ff6ab811422d1af98173d1a2ba9193ee426b9b060e4cb9eea30,24581224,94,processing/department-of-war/release-01/searchable-pdf/255-413270-ufo-s-and-defense-what-should-we-prepare-for.pdf,924ce68a9c33a065be20f134adb2c647ff9675078bb0ad5dfa94238af7829cc9,processing/department-of-war/release-01/text/255-413270-ufo-s-and-defense-what-should-we-prepare-for.txt,department-of-war/release-01/255-413270-ufo-s-and-defense-what-should-we-prepare-for.md,0,3.0,418747,4454.8,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/255-t-763-r1b-transcripts.pdf,1fe6258aa15843c8b5fba5dfc7da7b1939113201ab6710a183209c942790a6e0,277579,4,processing/department-of-war/release-01/searchable-pdf/255-t-763-r1b-transcripts.pdf,a3b026bead8bb200b454fc03300cfe345b0311a8d7dbba49cf964c7b33b5d9ab,processing/department-of-war/release-01/text/255-t-763-r1b-transcripts.txt,department-of-war/release-01/255-t-763-r1b-transcripts.md,0,4.2,3605,901.2,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/331-120752-numeric-files-1944-1945-37153-german-armament-equipment-documents.pdf,d64b69da88d045bb6aab4360ef7532b03b38a4950f98ca5656d728ea4cbdbc90,3232255,17,processing/department-of-war/release-01/searchable-pdf/331-120752-numeric-files-1944-1945-37153-german-armament-equipment-documents.pdf,0e89558dd1f897aa94d0fd6f96493c568540589a8e0cb379596d32ddf48b68e8,processing/department-of-war/release-01/text/331-120752-numeric-files-1944-1945-37153-german-armament-equipment-documents.txt,department-of-war/release-01/331-120752-numeric-files-1944-1945-37153-german-armament-equipment-documents.md,0,0.8,49766,2927.4,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/341-110448-records-relating-to-the-collection-and-dissemination-of-intelligence-1948-1955-ts-cont-no-2-2-5300-2-5399.pdf,fc5b1c8ab566157080d8137cdbbbf7f2c3d74e7e1fae52d49dcd5c44b06237ba,3167015,7,processing/department-of-war/release-01/searchable-pdf/341-110448-records-relating-to-the-collection-and-dissemination-of-intelligence-1948-1955-ts-cont-no-2-2-5300-2-5399.pdf,7fe64ca9401d577fa0f07434479efe094d023f7a0dda66a9edbf07284a448ab7,processing/department-of-war/release-01/text/341-110448-records-relating-to-the-collection-and-dissemination-of-intelligence-1948-1955-ts-cont-no-2-2-5300-2-5399.txt,department-of-war/release-01/341-110448-records-relating-to-the-collection-and-dissemination-of-intelligence-1948-1955-ts-cont-no-2-2-5300-2-5399.md,0,0.9,10096,1442.3,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
